	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Rhodocyclaceae	0.003973181028060591	0.0011677979709510255	0.0030527289546716002	0.0037231176211237936	0.002967020426794477	0.0037090558766859345	0.005621702655173408	0.0037621486048698923	0.00315928932975507	0.006107613908872902	0.002532714225411566	0.0046790421725435025
Planctomycetaceae	0.0036834699114311727	7.298737318443909e-05	0.0007863089731729879	0.0034781756723656493	0.0016546844687892275	0.0062138728323699426	0.0028829244385504657	0.003945030828717735	0.0039066480959336885	0.004608812949640288	0.007176023638666104	0.004617878222575614
Phycisphaeraceae	0.0036006953066799107	0.00080286110502883	0.0012950971322849213	0.00215548914907167	0.0017117425539198905	0.003179190751445087	0.0035459970594170728	0.0024558470059567353	0.0033631144478037845	0.0032973621103117505	0.002743773744195863	0.003027615523410502
Bacteroidetes unclassified	0.003393758794801755	0.004890154003357419	0.008603145235892692	0.0026943614363395874	0.0031381946821864657	0.0013969171483622352	0.00377663101450111	0.0020639565262827882	0.002717668240649523	0.0018360311750599521	0.0013929928239763613	0.0015596807241811676
Microbacteriaceae	0.003145434980547968	0.0009488358513977082	0.0015726179463459759	0.00497232155979033	0.002253794362661189	0.0032755298651252407	0.007466774295845706	0.0026648552617828405	0.004857831980161022	0.004533872901678657	0.0037146475306036302	0.0037310009480412245
Mycobacteriaceae	0.003145434980547968	0.0020436464491642944	0.0015957446808510637	0.0031352569441042474	0.0021682072349651946	0.0037572254335260114	0.0028252659497794565	0.0022729647821088934	0.00281958079967388	0.004084232613908873	0.003588011819333052	0.003364017248233891
Oxalobacteraceae	0.0030626603757967054	0.0013137727173199037	0.0017113783533765031	0.002620878851712144	0.0013693940431359123	0.0032755298651252407	0.0032865338599475306	0.0019072003344132093	0.0034310561538200223	0.004159172661870504	0.002701561840439004	0.0030887794733783906
Flavobacteriaceae	0.0030626603757967054	0.003284431793299759	0.002358926919518964	0.0023024543183265567	0.0026817300011411616	0.001300578034682081	0.003690143281344596	0.0021423346222175775	0.0019023677684546659	0.0013114508393285373	0.0012241452089489235	0.000856295299550445
Hydrogenophilaceae	0.0029798857710454435	7.298737318443909e-05	0.0003700277520814061	0.001249203938666536	0.0007417551066986192	0.001348747591522158	0.0035748263038025774	0.0010711673111087887	0.000985154737235452	0.006032673860911271	0.0006331785563528915	0.0008257133245665005
Cystobacteraceae	0.002938498468669812	0.00036493686592219544	0.0006475485661424607	0.002326948513202371	0.0014264521282665755	0.0027938342967244703	0.0021045348401418397	0.0018810743024349462	0.0024798722695926895	0.0019484412470023981	0.0034191642043056142	0.0029358695984586683
Unclassified Verrucomicrobia unclassified	0.0028143365615429187	0.0	0.0	0.0017390878361828246	0.0	0.0	0.0	0.004023408924652524	0.0	0.0	0.0	0.005260099697238447
Gemmatimonadaceae	0.0027729492591672873	0.0	0.00046253469010175765	0.0026453730465879587	0.0011411617026132602	0.0017341040462427746	0.0022198518176838587	0.002011704462326262	0.002242076298535856	0.004646282973621103	0.0030814689742507386	0.0032111073733141686
Myxococcaceae	0.0027729492591672873	0.00029194949273775636	0.0005550416281221092	0.0032577279184833195	0.0015405682985279014	0.0022639691714836222	0.0031423876380200074	0.0019333263663914725	0.003023405917722594	0.0032598920863309354	0.0028704094554664415	0.0038533288479770025
Acidobacteriaceae	0.0025660127472891315	7.298737318443909e-05	0.00020814061054579092	0.0017880762259344534	0.00048499372361063563	0.0016859344894026974	0.002018047106985326	0.0008099069913261573	0.0015626592383734756	0.002697841726618705	0.0010130856901646263	0.002966451573442613
Enterobacteriaceae	0.0025246254449135005	0.0020436464491642944	0.0021045328399629973	0.003968059569881938	0.0023393814903571834	0.0042870905587668595	0.0059964828321849685	0.003318006061239419	0.005061657098209736	0.004084232613908873	0.0037146475306036302	0.003578091073121502
Isosphaeraceae	0.0024832381425378696	0.0	0.00046253469010175765	0.0014941458874246803	0.0009985164897866028	0.002601156069364162	0.0015279499524317468	0.0016198139826523147	0.003295172741787546	0.001386390887290168	0.0025749261291684255	0.0021407382488761125
Alcaligenaceae	0.002441850840162238	0.0011677979709510255	0.0018963922294172064	0.0025718904619605153	0.001911445851877211	0.0017822736030828517	0.0024504857727678958	0.0024819730379349986	0.0017664843564221897	0.0024355515587529976	0.002110595187842972	0.002507721948683446
Rhodobiaceae	0.002400463537786607	0.0016787095832420992	0.0022201665124884367	0.002767844020967031	0.0018258587241812164	0.0018786127167630057	0.0017874131519012887	0.0015936879506740517	0.0024459014165845706	0.0022856714628297363	0.0014774166314900801	0.002232484173827946
Solibacteraceae	0.0023176889330353448	0.0	0.00046253469010175765	0.0008817910155293195	0.0010270455323519343	0.0010597302504816955	0.001758583907515784	0.0006792768314348417	0.0007473587661786188	0.0013114508393285373	0.001266357112705783	0.0011009510994220008
