PFAM	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
PF12945	1	5	8	2	6	3	3	3	3	3	3	2
PF12946	1	0	0	1	0	1	3	0	0	0	0	0
PF12947	2	0	0	6	3	3	6	1	0	1	0	3
PF12949	0	1	0	0	0	0	0	1	0	0	0	0
PF12950	7	2	13	7	7	8	14	17	35	9	12	18
PF12951	17	2	29	15	18	53	28	51	35	27	70	92
PF12952	0	4	0	0	0	2	0	1	0	0	1	0
PF12953	1	1	7	0	6	13	3	10	8	2	13	11
PF12954	1	0	0	1	1	0	1	0	0	1	0	1
PF12957	0	0	0	0	0	1	0	0	1	0	0	0
PF12961	0	0	0	2	0	2	4	1	2	1	5	1
PF12964	0	0	0	0	0	0	0	1	0	0	0	0
PF12965	2	1	0	8	7	3	8	1	10	6	4	5
PF12966	3	0	3	2	4	2	1	9	6	3	1	1
PF12968	2	2	1	2	6	4	4	2	12	2	5	5
PF12969	11	4	17	12	9	11	18	27	18	10	13	22
PF12970	3	2	4	0	2	1	2	3	2	0	1	2
PF12971	0	0	0	0	1	0	0	0	1	1	0	1
PF12972	0	0	0	0	0	2	0	1	2	1	2	1
PF12973	14	4	18	30	7	4	17	4	11	12	1	6
PF12974	59	31	96	114	73	37	51	75	77	61	40	74
PF12975	0	0	0	0	1	2	0	0	0	0	0	1
PF12979	1	0	0	2	0	1	0	5	2	1	4	4
PF12980	0	0	0	0	0	0	0	3	1	0	1	2
PF12981	0	0	0	0	0	0	0	0	0	0	0	1
PF12982	0	1	1	0	0	0	0	0	0	0	0	0
PF12985	0	1	1	0	1	0	0	0	1	1	0	2
PF12987	1	1	3	2	2	1	2	0	0	0	1	2
PF12989	0	0	1	0	0	0	0	0	0	0	0	0
PF12991	1	0	0	1	0	0	0	1	0	0	0	0
PF12996	4	1	2	2	3	10	3	4	7	5	3	7
PF12998	0	0	0	0	1	0	0	0	1	0	0	0
PF12999	1	0	1	1	0	0	0	0	0	0	0	0
PF13000	6	3	7	17	11	2	7	15	13	8	7	7
PF13001	1	0	0	1	0	0	0	0	0	0	0	1
PF13004	10	1	3	7	6	7	9	8	8	8	6	7
PF13005	30	10	50	40	47	47	35	49	50	41	32	56
PF13006	2	0	3	3	1	5	4	9	4	3	7	7
PF13007	27	16	60	43	56	26	48	57	41	32	40	37
PF13009	0	0	0	0	0	0	0	0	0	0	0	1
PF13011	23	5	28	42	21	40	31	30	41	27	34	34
PF13012	1	0	0	2	0	0	2	0	0	0	0	0
PF13015	0	0	0	1	0	0	0	0	0	0	0	0
PF13017	0	0	0	0	0	1	0	0	0	0	0	0
PF13018	0	0	0	0	0	0	1	2	0	0	0	0
PF13019	0	0	0	0	0	0	1	0	0	2	0	0
PF13020	9	3	10	12	9	8	14	15	28	16	19	15
PF13021	1	0	0	0	0	0	0	0	0	0	0	0
PF13022	0	0	0	1	0	1	0	1	1	0	0	1
PF13023	7	7	21	14	15	17	17	31	19	16	11	32
PF13024	0	0	0	0	0	0	0	0	0	0	0	1
PF13025	0	0	0	0	0	0	0	0	1	0	0	0
PF13026	0	0	2	1	5	2	1	3	2	1	2	3
PF13028	0	0	0	0	0	0	0	0	1	0	0	0
PF13030	5	1	4	4	1	3	4	5	4	4	3	1
PF13031	0	1	0	0	1	0	0	0	0	0	1	0
PF13032	0	0	0	0	1	0	0	0	1	0	0	0
PF13036	16	10	17	20	12	22	15	26	24	14	24	35
PF13038	0	1	0	0	0	0	0	0	0	0	0	0
PF13039	0	0	0	0	0	0	1	1	1	0	0	0
PF13041	17	0	1	17	12	0	3	2	4	2	0	2
PF13049	0	0	0	0	0	0	0	0	0	0	0	1
PF13056	0	0	1	0	0	0	0	0	0	0	0	0
PF13062	0	0	1	0	0	0	1	0	0	0	0	0
PF13072	0	0	0	0	1	0	0	0	0	0	0	0
PF13083	14	12	33	23	27	17	24	37	40	23	25	31
PF13084	1	0	1	0	0	1	0	1	0	0	1	1
PF13085	36	23	41	48	43	35	38	47	46	47	27	57
PF13086	30	25	36	32	32	41	41	34	33	25	18	43
PF13087	28	12	20	32	30	15	29	29	26	17	17	27
PF13088	34	6	34	31	25	41	46	111	40	31	75	63
PF13089	26	18	37	48	31	30	40	47	27	27	23	36
PF13090	71	26	78	95	82	63	85	79	103	72	54	90
PF13091	77	44	65	80	70	75	82	107	84	70	82	103
PF13092	0	0	0	0	0	1	0	0	0	0	0	0
PF13097	0	0	0	0	0	0	0	0	0	0	0	1
PF13098	59	39	97	113	93	77	87	117	104	71	61	103
PF13100	6	4	19	14	8	6	13	17	10	6	3	7
PF13101	0	0	0	0	1	0	0	0	0	0	0	0
PF13102	24	20	35	37	33	20	43	43	38	30	43	40
PF13103	23	13	19	26	30	20	25	34	32	25	23	32
PF13104	0	0	0	0	0	0	0	1	0	0	0	0
PF13108	0	0	0	0	0	1	0	0	0	0	0	0
PF13109	2	3	3	3	2	3	3	5	2	2	7	8
PF13113	0	0	0	0	0	0	0	0	0	0	1	0
PF13114	3	0	1	8	2	1	8	6	9	2	6	4
PF13115	0	0	0	4	2	2	2	4	1	1	0	3
PF13116	8	5	8	13	9	3	7	9	9	4	3	4
PF13118	0	0	0	0	2	0	0	0	0	0	0	1
PF13131	0	0	0	1	0	0	0	1	0	0	0	0
PF13143	0	0	0	0	0	1	0	0	0	0	0	0
PF13144	18	9	21	16	18	21	26	29	25	26	31	32
PF13145	69	37	83	88	71	84	109	116	95	76	110	124
PF13146	2	2	4	5	2	0	1	3	1	3	3	3
PF13148	21	8	37	34	32	23	28	29	29	25	12	26
PF13151	0	0	0	1	0	0	1	0	0	0	1	0
PF13152	0	0	0	0	0	0	1	0	0	0	0	0
PF13154	0	0	1	2	0	0	1	0	0	2	4	2
PF13155	45	23	44	53	61	51	57	57	55	46	53	66
PF13156	11	2	11	6	16	5	11	13	8	5	8	13
PF13157	0	0	0	0	0	0	1	0	0	0	0	0
PF13158	0	0	0	0	0	0	1	0	0	0	0	0
PF13160	1	1	0	1	2	0	0	2	0	1	0	3
PF13161	0	0	1	0	0	0	0	0	0	0	0	0
PF13162	0	0	0	0	0	0	0	0	1	0	0	0
PF13163	0	0	1	2	5	1	5	1	6	1	0	2
PF13164	0	0	0	1	0	0	0	0	0	0	0	0
