Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Cyclobacteriaceae	38	84	477	34	109	1	13	9	11	1	1	1
Rhodobiaceae	58	23	96	113	64	39	62	61	72	61	35	73
Cystobacteraceae	71	5	28	95	50	58	73	72	73	52	81	96
Nocardiaceae	50	7	32	132	48	42	92	64	76	83	46	82
Nocardioidaceae	36	6	24	100	29	32	193	70	100	43	55	64
Bacteroidaceae	41	15	81	32	94	66	66	82	48	62	92	71
Rhodanobacteraceae	52	12	60	111	55	51	111	55	47	74	43	67
Desulfohalobiaceae	22	198	41	2	46	44	26	173	31	16	64	68
Beijerinckiaceae	43	23	105	123	54	37	74	53	54	62	33	58
Sphingomonadales_unclassified	52	12	83	110	68	43	56	41	93	45	28	64
Firmicutes_unclassified	41	37	59	45	60	55	60	85	48	42	80	71
Anaeromyxobacteraceae	41	3	31	73	40	52	80	69	75	76	58	85
Bacteroidales_unclassified	22	23	102	24	89	54	70	117	49	28	49	49
Methylococcaceae	29	15	53	59	62	50	78	74	61	51	36	73
Micrococcales_unclassified	48	12	33	64	59	49	70	62	47	64	52	62
Isosphaeraceae	60	0	20	61	35	54	53	62	97	37	61	70
Hydrogenophilaceae	72	1	16	51	26	28	124	41	29	161	15	27
Aeromonadaceae	31	16	66	51	50	41	52	58	47	42	47	76
Sandaracinaceae	42	0	19	78	73	29	95	28	53	49	40	59
Kofleriaceae	102	0	22	68	28	32	54	46	43	60	42	54
Desulfomicrobiaceae	10	10	72	11	40	47	50	100	52	16	65	67
Acidobacteriaceae	62	1	9	73	17	35	70	31	46	72	24	97
Verrucomicrobiaceae	24	0	46	43	21	40	43	92	48	28	49	92
Paenibacillaceae	26	11	52	53	38	37	42	61	55	54	33	54
Desulfonatronaceae	6	1	49	16	42	55	39	80	44	22	77	71
Micrococcaceae	27	10	33	49	23	48	54	48	53	32	46	51
Rhodothermaceae	26	10	16	56	27	35	33	69	43	45	50	62
Unclassified_Verrucomicrobia_unclassified	68	0	0	71	0	0	0	154	0	0	0	172
Thermaceae	17	1	20	40	35	32	42	58	48	39	46	75
Methanosarcinaceae	7	231	7	1	11	2	3	130	2	3	36	4
Corynebacteriales_unclassified	29	8	27	47	26	25	52	48	37	37	43	54
Cyanobacteria_unclassified	34	8	47	59	27	12	44	31	104	34	13	11
Xanthomonadales_unclassified	23	7	32	60	33	26	40	37	36	48	23	41
Chromobacteriaceae	23	9	27	39	32	27	81	35	33	40	17	42
Syntrophaceae	11	1	32	1	30	53	15	45	25	19	84	80
Sinobacteraceae	30	2	33	52	33	28	48	39	32	44	8	44
Solibacteraceae	56	0	20	36	36	22	61	26	22	35	30	36
Oscillatoriophycideae_unclassified	40	4	42	72	29	9	33	26	66	30	14	15
Desulfuromonadaceae	15	4	29	18	32	32	37	48	34	28	42	59
Bacillales_unclassified	25	22	29	43	21	27	38	31	38	17	26	53
Chloroflexi_unclassified	26	0	17	21	28	34	26	48	30	33	44	47
Parcubacteria_group_unclassified	19	19	28	13	34	23	27	39	28	37	51	31
Saprospiraceae	7	0	11	119	69	0	59	35	22	23	0	0
Prolixibacteraceae	3	38	84	2	92	3	17	94	2	1	2	3
Rhodobacterales_unclassified	32	19	40	44	33	9	33	23	32	24	19	22
Desulfovibrionales_unclassified	10	13	34	17	27	32	21	43	26	26	36	44
Rikenellaceae	13	8	20	29	38	19	34	34	36	29	32	33
Deinococcaceae	21	4	15	32	17	17	35	51	30	24	21	46
Cytophagaceae	27	2	23	103	16	7	51	20	13	18	13	16
Cystobacterineae_unclassified	21	3	6	35	21	17	35	30	35	25	29	29
Syntrophobacteraceae	18	0	19	13	17	40	15	25	27	15	40	56
Porphyromonadaceae	10	15	27	20	43	15	29	40	26	20	16	19
Clostridia_unclassified	17	12	18	10	14	25	20	34	29	14	32	49
Pseudonocardiaceae	21	2	14	29	19	18	33	24	28	15	25	40
Nocardiopsaceae	21	3	14	28	12	30	18	23	29	31	21	35
Labilitrichaceae	41	0	10	34	37	12	30	16	15	15	14	23
Scytonemataceae	27	13	20	36	22	8	25	25	29	22	5	12
Holophagaceae	12	0	18	13	21	18	11	35	20	23	30	40
Intrasporangiaceae	18	4	17	33	21	16	33	16	18	26	13	22
Bacteria_candidate_phyla_unclassified	9	8	8	6	15	39	13	19	21	8	40	42
Pelobacteraceae	6	3	25	4	20	18	9	34	38	8	17	38
Vulgatibacteraceae	15	0	7	24	10	15	23	17	24	22	19	31
Nitrosomonadaceae	31	0	1	43	2	0	34	0	0	95	0	0
Anaerolineae_unclassified	4	0	2	1	2	13	15	14	24	12	59	60
Nostocaceae	13	4	21	49	20	7	21	15	36	10	3	3
Acidimicrobiaceae	1	0	2	28	28	21	9	21	27	31	1	32
Actinomycetaceae	11	4	15	14	17	19	16	28	18	20	18	20
Solirubrobacteraceae	12	1	5	19	22	13	19	21	24	8	20	30
Frankiaceae	14	2	17	28	10	7	16	13	20	28	17	21
Chromatiales_unclassified	11	7	18	19	29	11	10	20	17	14	11	26
