Sample	sulfur	carbon	oxygen	iron	nitrogen	<sulfur comp>	sulfur_1	sulfur_2	sulfur_3	sulfur_4	sulfur_5	sulfur_6	sulfur_7	sulfur_8	sulfur_9	sulfur_10	sulfur_11	sulfur_12	sulfur_13	sulfur_14	sulfur_15	sulfur_16	sulfur_17	sulfur_18	sulfur_19	sulfur_20	sulfur_21	sulfur_22	sulfur_23	sulfur_24	sulfur_25	sulfur_26	sulfur_27	sulfur_28	sulfur_29	<carbon comp>	carbon_1	carbon_2	carbon_3	carbon_4	carbon_5	carbon_6	carbon_7	carbon_8	carbon_9	carbon_10	carbon_12	carbon_13
Hot spring mat Yellowstone	0.378	4.295	2.456	0.542	3.722	22.6	11.1	20.0	0.0	17.6	25.0	10.0	44.4	0.0	40.0	25.0	10.3	0.0	66.7	50.0	14.3	18.8	8.3	14.3	42.9	14.3	0.0	28.6	36.4	0.0	0.0	0.0	100.0	50.0	8.3	8.1	25.0	0.0	16.7	0.0	0.0	0.0	35.7	0.0	0.0	7.7	12.5	0.0
Guerrero Negro mat	5.817	8.804	1.178	4.579	11.697	69.1	55.6	40.0	100.0	52.9	50.0	45.0	77.8	0.0	100.0	45.0	34.5	100.0	100.0	100.0	71.4	43.8	91.7	100.0	85.7	28.6	0.0	42.9	72.7	100.0	100.0	100.0	100.0	100.0	66.7	44.7	62.5	16.7	100.0	9.1	75.0	50.0	64.3	33.3	28.6	84.6	12.5	0.0
Green mat CCB (reads) 	8.600	23.271	6.906	7.217	19.312	80.8	100.0	40.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	58.6	100.0	100.0	100.0	71.4	56.2	91.7	100.0	85.7	57.1	0.0	57.1	81.8	100.0	100.0	100.0	100.0	100.0	83.3	52.0	87.5	50.0	100.0	27.3	75.0	50.0	78.6	33.3	28.6	69.2	25.0	0.0
Hot spring mat Yellowstone	3.698	9.184	7.268	3.146	11.424	49.9	55.6	40.0	0.0	47.1	45.0	25.0	55.6	0.0	60.0	50.0	31.0	0.0	33.3	100.0	50.0	31.2	41.7	28.6	71.4	42.9	0.0	42.9	63.6	100.0	100.0	100.0	100.0	100.0	33.3	29.8	62.5	8.3	66.7	0.0	25.0	50.0	57.1	0.0	14.3	61.5	12.5	0.0
Pink berry biofilm	8.916	18.961	6.908	9.391	19.014	84.5	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	60.0	72.4	100.0	100.0	100.0	71.4	62.5	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	56.5	87.5	58.3	100.0	18.2	75.0	50.0	71.4	66.7	28.6	84.6	37.5	0.0
PL mat	8.579	27.053	7.548	8.674	20.234	84.3	88.9	70.0	100.0	76.5	70.0	60.0	77.8	100.0	100.0	70.0	69.0	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	91.7	57.0	87.5	66.7	100.0	18.2	50.0	50.0	92.9	66.7	14.3	100.0	37.5	0.0
PL mat	4.035	16.771	6.831	3.386	15.172	72.2	77.8	30.0	50.0	58.8	55.0	40.0	66.7	100.0	100.0	45.0	44.8	100.0	100.0	100.0	71.4	37.5	91.7	100.0	85.7	42.9	0.0	57.1	81.8	100.0	100.0	100.0	100.0	75.0	83.3	43.2	87.5	25.0	100.0	18.2	50.0	50.0	71.4	0.0	14.3	76.9	25.0	0.0
PL mat	-1.191	0.486	3.600	4.373	10.322	58.2	44.4	40.0	50.0	29.4	35.0	30.0	44.4	100.0	80.0	50.0	31.0	0.0	66.7	100.0	57.1	37.5	83.3	85.7	71.4	14.3	0.0	57.1	54.5	100.0	100.0	100.0	100.0	100.0	25.0	30.2	37.5	25.0	83.3	0.0	50.0	50.0	35.7	0.0	14.3	53.8	12.5	0.0
Stromatolite Bahamas 	-0.246	0.597	-0.011	0.540	1.467	17.7	0.0	0.0	50.0	5.9	5.0	5.0	11.1	100.0	20.0	15.0	3.4	0.0	33.3	50.0	14.3	12.5	8.3	14.3	14.3	0.0	0.0	0.0	27.3	0.0	0.0	0.0	100.0	25.0	0.0	2.4	12.5	8.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7	0.0	0.0
Shark bay Smooth mat 	7.509	29.551	7.076	8.234	18.460	83.1	88.9	60.0	100.0	76.5	70.0	60.0	77.8	100.0	100.0	60.0	65.5	100.0	100.0	100.0	71.4	62.5	100.0	100.0	85.7	71.4	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	91.7	62.8	87.5	58.3	100.0	36.4	100.0	50.0	78.6	100.0	28.6	76.9	37.5	0.0
PL mat	9.652	28.281	7.548	8.674	20.354	84.3	100.0	60.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	69.0	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	58.2	87.5	66.7	100.0	18.2	50.0	50.0	92.9	66.7	28.6	100.0	37.5	0.0
PL mat	5.703	26.295	6.092	5.399	16.345	75.9	88.9	50.0	50.0	64.7	60.0	50.0	77.8	100.0	100.0	55.0	55.2	100.0	100.0	100.0	71.4	50.0	91.7	100.0	85.7	42.9	0.0	42.9	72.7	100.0	100.0	100.0	100.0	100.0	91.7	53.4	87.5	25.0	100.0	27.3	75.0	50.0	71.4	66.7	28.6	84.6	25.0	0.0
PL mat	-1.264	1.615	6.409	6.466	12.889	61.0	55.6	30.0	100.0	29.4	40.0	35.0	33.3	100.0	80.0	45.0	37.9	0.0	66.7	100.0	64.3	37.5	83.3	85.7	85.7	14.3	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	16.7	30.7	50.0	33.3	100.0	0.0	25.0	50.0	21.4	0.0	14.3	61.5	12.5	0.0
Shark Bay columnar stromatolite	0.240	-0.247	-0.065	0.356	0.713	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	10.0	0.0	0.0	0.0	0.0	21.4	0.0	8.3	0.0	42.9	0.0	0.0	0.0	36.4	0.0	0.0	0.0	0.0	50.0	0.0	2.3	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.4	0.0	0.0
PL mat	9.574	21.964	6.732	8.754	19.872	83.9	100.0	60.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	62.1	100.0	100.0	100.0	71.4	68.8	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	51.8	75.0	66.7	100.0	9.1	50.0	50.0	92.9	33.3	14.3	92.3	37.5	0.0
PL mat	1.118	4.183	6.948	5.250	14.997	71.6	77.8	40.0	100.0	41.2	45.0	30.0	55.6	100.0	100.0	55.0	44.8	100.0	100.0	100.0	71.4	43.8	91.7	100.0	85.7	14.3	0.0	57.1	72.7	100.0	100.0	100.0	100.0	100.0	50.0	37.5	50.0	33.3	100.0	0.0	50.0	50.0	50.0	0.0	14.3	76.9	25.0	0.0
Clinton Creek sediment	4.960	15.289	7.562	7.317	19.213	80.0	77.8	50.0	100.0	64.7	70.0	50.0	77.8	100.0	100.0	60.0	58.6	100.0	100.0	100.0	71.4	62.5	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	66.7	48.7	75.0	58.3	100.0	18.2	50.0	50.0	71.4	33.3	14.3	76.9	37.5	0.0
Clinton Creek microbialite	7.814	12.137	6.745	8.494	18.620	80.5	88.9	50.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	51.7	100.0	100.0	100.0	64.3	56.2	91.7	100.0	85.7	57.1	0.0	71.4	81.8	100.0	100.0	100.0	100.0	100.0	75.0	49.3	62.5	50.0	100.0	18.2	50.0	50.0	64.3	66.7	28.6	76.9	25.0	0.0
PL mat	9.718	24.142	8.074	8.385	21.366	84.5	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	70.0	65.5	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	57.7	87.5	66.7	100.0	9.1	75.0	50.0	85.7	66.7	14.3	100.0	37.5	0.0
Shark Bay Postular mats 	8.704	36.203	5.902	9.391	18.866	84.4	100.0	70.0	100.0	76.5	75.0	60.0	77.8	100.0	100.0	65.0	65.5	100.0	100.0	100.0	71.4	75.0	100.0	100.0	85.7	57.1	0.0	85.7	81.8	100.0	100.0	100.0	100.0	100.0	100.0	63.8	87.5	58.3	100.0	36.4	75.0	50.0	92.9	100.0	28.6	100.0	37.5	0.0
PL mat	3.299	15.929	2.892	3.435	12.699	64.6	33.3	30.0	50.0	52.9	45.0	45.0	77.8	100.0	100.0	30.0	31.0	100.0	100.0	100.0	57.1	43.8	83.3	85.7	71.4	28.6	0.0	28.6	63.6	100.0	100.0	100.0	100.0	50.0	66.7	44.4	75.0	16.7	100.0	9.1	50.0	50.0	64.3	66.7	14.3	61.5	25.0	0.0
