non-redundant	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Campylobacteraceae unclassified	0	0	1	0	0	0	0	2	0	0	0	0
Campylobacterales unclassified	1	2	0	0	0	1	2	3	0	0	1	0
Candidate division CPR2 unclassified	1	0	1	3	0	1	2	0	2	1	3	0
Candidate division CPR3 unclassified	0	0	1	0	0	2	0	1	0	0	0	0
Candidate division NC10 unclassified	0	0	0	0	0	9	0	0	7	0	7	7
Candidate division WWE3 unclassified	1	0	1	3	1	3	1	1	1	1	0	2
Candidate division Zixibacteria unclassified	1	0	0	1	2	1	1	1	0	1	16	1
Candidatus Accumulibacter	33	6	42	100	53	79	119	49	68	100	58	145
Candidatus Acetothermia unclassified	0	0	0	0	0	0	0	0	0	0	10	8
Candidatus Adlerbacteria unclassified	0	1	1	1	1	0	0	1	1	1	1	0
Candidatus Amesbacteria unclassified	0	1	0	0	2	4	1	1	2	1	1	2
Candidatus Aminicenantes unclassified	2	1	0	0	1	4	1	3	1	3	2	2
Candidatus Arthromitus	0	0	0	0	0	0	0	2	0	0	0	0
Candidatus Atribacteria unclassified	1	1	2	0	2	1	1	12	1	0	9	4
Candidatus Azambacteria unclassified	0	1	1	2	1	3	1	0	0	1	0	1
Candidatus Bathyarchaeota unclassified	0	0	0	0	1	0	0	0	0	0	1	0
Candidatus Beckwithbacteria unclassified	0	1	1	2	0	0	3	1	1	0	3	3
Candidatus Berkelbacteria unclassified	0	0	0	0	0	0	0	3	0	0	1	1
Candidatus Blochmannia	1	0	1	0	1	0	0	0	1	0	1	0
Candidatus Brocadiaceae unclassified	0	0	0	1	0	1	0	0	2	0	2	1
Candidatus Calescamantes unclassified	0	0	0	0	1	0	0	0	0	0	0	0
Candidatus Campbellbacteria unclassified	0	5	2	1	4	1	0	3	1	0	1	1
Candidatus Cardinium	0	0	0	0	2	0	0	0	1	0	0	0
Candidatus Collierbacteria unclassified	0	1	0	2	0	1	1	0	1	1	1	2
Candidatus Competibacter	0	0	0	0	0	0	10	5	8	0	0	6
Candidatus Contendobacter	0	0	21	24	9	10	22	9	24	11	14	15
Candidatus Curtissbacteria unclassified	0	0	0	1	1	0	0	0	1	0	0	0
Candidatus Daviesbacteria unclassified	0	1	1	0	1	2	0	3	1	1	2	0
Candidatus Desulforudis	0	0	0	0	0	0	0	0	0	0	12	14
Candidatus Diapherotrites unclassified	0	0	0	0	0	0	0	1	0	0	1	0
Candidatus Falkowbacteria unclassified	0	0	3	2	3	5	2	2	3	5	1	9
Candidatus Fervidibacteria unclassified	1	1	1	0	0	1	2	0	1	0	1	3
Candidatus Giovannonibacteria unclassified	0	0	2	0	0	0	0	0	1	0	0	1
Candidatus Gottesmanbacteria unclassified	0	0	0	2	2	1	0	1	1	0	1	1
Candidatus Hydrogenedentes unclassified	1	0	2	1	2	1	2	4	3	5	2	2
Candidatus Jorgensenbacteria unclassified	0	0	1	1	0	0	1	2	0	0	2	1
Candidatus Kaiserbacteria unclassified	0	0	0	3	1	0	0	6	0	0	2	3
Candidatus Koribacter	12	0	0	7	0	0	12	9	7	8	10	12
Candidatus Levybacteria unclassified	0	0	0	0	0	1	0	0	0	1	0	2
Candidatus Liberibacter	0	0	0	1	1	0	0	1	0	0	0	0
Candidatus Magasanikbacteria unclassified	0	2	0	1	1	1	1	4	1	3	7	7
Candidatus Methylomirabilis	0	0	0	0	0	8	0	0	0	0	9	15
Candidatus Microgenomates unclassified	0	0	0	0	0	0	0	0	0	0	0	1
Candidatus Microthrix	0	0	0	9	0	0	0	0	0	12	0	0
Candidatus Moranbacteria unclassified	4	2	6	5	4	5	5	10	8	6	3	6
Candidatus Nomurabacteria unclassified	2	2	3	2	1	0	1	3	2	3	3	0
Candidatus Omnitrophus	0	0	0	0	0	12	0	0	4	0	11	17
Candidatus Pacebacteria unclassified	1	0	0	2	1	1	2	2	0	1	1	0
Candidatus Paracaedibacteraceae unclassified	1	0	0	0	0	0	1	0	0	0	0	1
Candidatus Parcubacteria unclassified	1	1	1	0	1	7	2	0	0	0	0	16
Candidatus Pelagibacter	0	0	0	0	0	0	0	0	1	1	0	0
Candidatus Peregrinibacteria unclassified	2	5	3	3	1	3	6	1	3	5	1	6
Candidatus Peribacteria unclassified	1	0	1	0	1	2	2	0	0	0	0	1
Candidatus Phaeomarinobacter	0	0	5	0	7	0	0	0	0	0	0	0
Candidatus Phytoplasma	0	0	0	1	0	0	0	0	0	0	0	1
Candidatus Poribacteria unclassified	2	0	0	0	1	0	0	1	1	1	0	1
Candidatus Protochlamydia	2	2	0	0	0	0	0	0	0	0	0	0
Candidatus Roizmanbacteria unclassified	0	0	1	1	0	2	1	2	1	2	3	1
Candidatus Rokubacteria unclassified	10	0	8	10	5	20	16	13	12	9	17	19
Candidatus Saccharibacteria unclassified	0	0	0	0	3	0	0	0	0	1	1	0
Candidatus Shapirobacteria unclassified	0	0	0	1	0	2	2	1	1	0	1	1
Candidatus Solibacter	56	0	20	36	36	22	61	26	22	35	30	36
Candidatus Symbiobacter	0	0	0	0	0	0	0	0	7	0	0	0
Candidatus Uhrbacteria unclassified	1	2	3	2	5	7	5	6	5	7	2	4
