Sample Name	RollUpLevel	Rank	TaxID	Type	Phylum	Class	Order	Family	Genus	Species	All Samples	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Flammeovirgaceae unclassified	genus	family	200667	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae			13	2	0	1	1	1	0	3	0	4	1	0	0
Faecalibacterium	genus	genus	216851	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium		13	1	0	1	1	0	1	0	1	2	2	1	3
Chitinilyticum	genus	genus	551208	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinilyticum		13	1	1	0	0	1	0	4	4	0	0	1	1
Paraprevotella	genus	genus	577309	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella		13	1	0	2	1	2	0	1	2	3	0	0	1
Oleiagrimonas	genus	genus	1649642	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Oleiagrimonas		13	3	0	0	0	0	0	6	0	0	4	0	0
Halothermothrix	genus	genus	32636	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halothermothrix		13	0	12	0	0	1	0	0	0	0	0	0	0
Kordiimonas	genus	genus	288021	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas		13	0	0	1	6	0	0	6	0	0	0	0	0
Sanguibacteroides	genus	genus	1635148	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Sanguibacteroides		13	0	0	2	0	2	1	2	2	1	1	1	1
Aliiroseovarius	genus	genus	1658781	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius		13	0	0	2	10	1	0	0	0	0	0	0	0
Sphingobacterium	genus	genus	28453	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium		13	0	0	0	2	2	0	4	3	2	0	0	0
Phormidesmis	genus	genus	1005722	Bacteria	Cyanobacteria		Oscillatoriales		Phormidesmis		13	0	0	0	13	0	0	0	0	0	0	0	0
Cecembia	genus	genus	1187078	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cecembia		13	0	0	0	8	0	0	0	0	5	0	0	0
Planctopirus	genus	genus	1649480	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus		13	0	0	0	6	0	0	0	0	0	0	0	7
Vibrionaceae unclassified	genus	family	641	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae			12	3	0	1	0	0	0	1	1	3	2	1	0
Anabaena	genus	genus	1163	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Anabaena		12	1	0	1	5	0	0	1	0	3	1	0	0
Saccharomonospora	genus	genus	1851	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora		12	2	0	1	4	1	0	0	2	1	1	0	0
Propionibacteriaceae unclassified	genus	family	31957	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae			12	0	0	1	3	2	0	0	3	0	0	0	3
Glycomyces	genus	genus	58113	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces		12	2	0	1	1	0	1	5	0	1	0	0	1
Dermatophilaceae unclassified	genus	family	85018	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae			12	0	0	1	1	0	1	1	3	3	1	0	1
Brucellaceae unclassified	genus	family	118882	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae			12	0	0	3	3	1	0	1	3	1	0	0	0
Nannocystineae unclassified	genus	suborder	224462	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales				12	0	0	2	2	0	1	1	1	1	1	0	3
Jiangella	genus	genus	281472	Bacteria	Actinobacteria	Actinobacteria	Jiangellales	Jiangellaceae	Jiangella		12	2	1	1	0	1	1	1	2	1	0	0	2
Falsirhodobacter	genus	genus	1434002	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Falsirhodobacter		12	2	0	5	5	0	0	0	0	0	0	0	0
Ketogulonicigenium	genus	genus	92944	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ketogulonicigenium		12	0	1	4	2	5	0	0	0	0	0	0	0
Candidatus Daviesbacteria unclassified	genus	phylum	1752718	Bacteria	Candidatus Daviesbacteria						12	0	1	1	0	1	2	0	3	1	1	2	0
Aliagarivorans	genus	genus	882379	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aliagarivorans		12	0	0	2	1	0	2	2	2	1	0	0	2
Candidatus Phaeomarinobacter	genus	genus	1541445	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Candidatus Phaeomarinobacter		12	0	0	5	0	7	0	0	0	0	0	0	0
Spirosoma	genus	genus	107	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma		12	0	0	0	3	1	1	2	0	0	2	0	3
Rickettsia	genus	genus	780	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		12	0	0	0	1	0	0	3	1	1	2	2	2
Persicobacter	genus	genus	59740	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Persicobacter		12	0	0	0	2	6	0	2	0	1	1	0	0
Leptolinea	genus	genus	475966	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea		12	0	0	0	0	0	5	0	0	0	0	7	0
Thermobacillus	genus	genus	76632	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus		12	0	0	0	0	0	0	0	0	0	12	0	0
Methanofollis	genus	genus	81416	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanofollis		12	0	0	0	0	0	0	0	0	0	0	12	0
Photobacterium	genus	genus	657	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium		11	3	0	2	1	0	0	1	1	1	1	0	1
Thermoanaerobacter	genus	genus	1754	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter		11	2	0	1	0	2	1	2	0	2	1	0	0
Methylophilaceae unclassified	genus	family	32011	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			11	2	0	2	0	1	0	2	0	2	1	0	1
Blastococcus	genus	genus	38501	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus		11	1	0	0	0	0	0	0	0	9	0	1	0
Chlamydiales unclassified	genus	order	51291	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales				11	1	0	5	1	1	0	0	1	1	0	0	1
Dehalococcoides	genus	genus	61434	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides		11	2	0	0	0	1	1	1	0	1	1	1	3
Pedobacter	genus	genus	84567	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		11	1	1	1	0	2	0	2	0	2	1	0	1
Anoxybacillus	genus	genus	150247	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus		11	2	0	0	1	0	1	1	2	3	0	0	1
Lentzea	genus	genus	165301	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lentzea		11	2	0	0	3	0	0	0	0	6	0	0	0
Fibrobacteria unclassified	genus	class	204430	Bacteria	Fibrobacteres	Fibrobacteria					11	1	0	0	1	1	1	2	0	1	2	1	1
Perlucidibaca	genus	genus	661182	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Perlucidibaca		11	4	0	3	0	0	0	0	0	0	4	0	0
Granulicella	genus	genus	940557	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella		11	1	1	0	0	0	0	1	0	0	0	0	8
Demequinaceae unclassified	genus	family	1042322	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae			11	0	0	2	2	0	1	3	1	0	0	0	2
Candidatus Fervidibacteria unclassified	genus	phylum	1383058	Bacteria	Candidatus Fervidibacteria						11	1	1	1	0	0	1	2	0	1	0	1	3
Candidatus Pacebacteria unclassified	genus	phylum	1752724	Bacteria	Candidatus Pacebacteria						11	1	0	0	2	1	1	2	2	0	1	1	0
Isosphaeraceae unclassified	genus	family	1763524	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae			11	3	0	1	2	1	0	0	1	0	0	2	1
Carboxydothermus	genus	genus	129957	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Carboxydothermus		11	0	2	2	0	0	0	0	1	2	2	0	2
Thermincola	genus	genus	278993	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Thermincola		11	0	1	0	0	1	2	0	2	1	0	4	0
Lachnoclostridium	genus	genus	1506553	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium		11	0	1	0	2	0	2	1	1	2	1	0	1
Candidatus Azambacteria unclassified	genus	phylum	1752741	Bacteria	Candidatus Azambacteria						11	0	1	1	2	1	3	1	0	0	1	0	1
Sporomusa	genus	genus	2375	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Sporomusa		11	0	0	1	0	0	2	2	2	2	1	0	1
Sutterella	genus	genus	40544	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella		11	0	0	1	1	2	1	1	1	2	1	0	1
Pseudacidovorax	genus	genus	433923	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pseudacidovorax		11	0	0	5	0	0	4	2	0	0	0	0	0
Thermophagus	genus	genus	1434049	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Thermophagus		11	0	0	0	0	11	0	0	0	0	0	0	0
Marinithermus	genus	genus	186191	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Marinithermus		11	0	0	0	0	0	0	5	0	0	0	0	6
Prolixibacter	genus	genus	314318	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Prolixibacter		11	0	0	0	0	0	0	0	11	0	0	0	0
Cesiribacter	genus	genus	1133570	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Cesiribacter		11	0	0	0	0	0	0	0	11	0	0	0	0
Moorea	genus	genus	1155738	Bacteria	Cyanobacteria		Oscillatoriales		Moorea		11	0	0	0	0	0	0	0	0	11	0	0	0
Fimbriimonas	genus	genus	1005038	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas		11	0	0	0	0	0	0	0	0	0	11	0	0
Herpetosiphon	genus	genus	64	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon		10	1	0	0	1	1	0	1	1	2	3	0	0
Corynebacteriaceae unclassified	genus	family	1653	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae			10	0	0	0	0	1	2	0	0	0	1	4	2
Colwellia	genus	genus	28228	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia		10	2	0	2	1	1	0	2	2	0	0	0	0
Delta/epsilon subdivisions unclassified	genus	subphylum	68525	Bacteria	Proteobacteria						10	0	0	1	0	2	1	0	2	2	0	1	1
Acidimicrobiaceae unclassified	genus	family	84994	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae			10	0	0	1	0	0	1	0	0	4	2	1	1
Williamsia	genus	genus	85043	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Williamsiaceae	Williamsia		10	2	0	0	1	1	0	3	1	0	0	1	1
Thermotogae unclassified	genus	class	188708	Bacteria	Thermotogae	Thermotogae					10	0	2	3	0	0	0	2	2	1	0	0	0
Campylobacterales unclassified	genus	order	213849	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales				10	1	2	0	0	0	1	2	3	0	0	1	0
Serinicoccus	genus	genus	265976	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Serinicoccus		10	1	0	1	0	1	0	0	1	2	1	1	2
Nautella	genus	genus	481445	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nautella		10	2	1	1	1	2	1	0	0	0	0	0	2
Methanolobus	genus	genus	2220	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus		10	0	1	0	0	0	0	0	9	0	0	0	0
Rahnella	genus	genus	34037	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Rahnella		10	0	2	1	1	0	1	3	0	0	1	1	0
Gracilibacillus	genus	genus	74385	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Gracilibacillus		10	0	2	2	0	2	0	0	2	0	1	0	1
Idiomarinaceae unclassified	genus	family	267893	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae			10	0	10	0	0	0	0	0	0	0	0	0	0
Methylotenera	genus	genus	359407	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera		10	0	1	0	2	1	1	3	0	0	2	0	0
Candidatus Collierbacteria unclassified	genus	phylum	1752725	Bacteria	Candidatus Collierbacteria						10	0	1	0	2	0	1	1	0	1	1	1	2
Thermomicrobia unclassified	genus	class	189775	Bacteria	Chloroflexi	Thermomicrobia					10	0	0	0	0	2	2	0	0	1	0	4	1
Caldimonas	genus	genus	196013	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Caldimonas		10	0	0	3	0	2	0	0	0	5	0	0	0
Dyadobacter	genus	genus	120831	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter		10	0	0	0	2	2	2	1	0	1	2	0	0
Thermanaerothrix	genus	genus	1077886	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermanaerothrix		10	0	0	0	4	0	0	0	0	0	0	6	0
Fermentimonas	genus	genus	1784836	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Fermentimonas		10	0	0	0	5	3	0	0	2	0	0	0	0
Pleurocapsa	genus	genus	44474	Bacteria	Cyanobacteria		Pleurocapsales		Pleurocapsa		10	0	0	0	0	10	0	0	0	0	0	0	0
Desulfurispora	genus	genus	510701	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfurispora		10	0	0	0	0	0	0	0	10	0	0	0	0
Chamaesiphon	genus	genus	217161	Bacteria	Cyanobacteria		Chroococcales		Chamaesiphon		10	0	0	0	0	0	0	0	0	10	0	0	0
Brevibacterium	genus	genus	1696	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium		9	1	0	0	0	1	0	1	1	3	0	2	0
Thermodesulfovibrio	genus	genus	28261	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio		9	2	2	0	0	1	1	0	0	0	2	1	0
Mitsuokella	genus	genus	52225	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella		9	1	0	0	1	0	0	1	3	1	1	0	1
Sphingobacteriaceae unclassified	genus	family	84566	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			9	0	0	1	1	0	0	2	2	2	0	0	1
Staphylococcaceae unclassified	genus	family	90964	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae			9	1	2	2	1	0	1	0	1	0	0	0	1
Peptostreptococcaceae unclassified	genus	family	186804	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			9	0	1	0	0	1	1	2	1	1	0	1	1
Methanomicrobia unclassified	genus	class	224756	Archaea	Euryarchaeota	Methanomicrobia					9	0	1	1	0	0	2	0	3	1	0	0	1
Lebetimonas	genus	genus	267989	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Lebetimonas		9	1	1	1	0	1	0	0	0	1	0	2	2
Echinicola	genus	genus	390846	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Echinicola		9	8	0	0	0	1	0	0	0	0	0	0	0
Peptoniphilus	genus	genus	162289	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus		9	0	1	0	1	0	2	2	0	2	0	1	0
Atopobium	genus	genus	1380	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium		9	0	0	1	0	0	0	2	2	1	0	0	3
Brevibacillus	genus	genus	55080	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus		9	0	0	1	0	2	0	0	2	2	0	1	1
Omnitrophica unclassified	genus	phylum	67812	Bacteria	Omnitrophica						9	0	0	1	0	1	5	0	0	0	0	0	2
Halonatronum	genus	genus	150059	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Halonatronum		9	0	0	9	0	0	0	0	0	0	0	0	0
Nonlabens	genus	genus	363408	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens		9	0	0	1	3	0	1	1	2	1	0	0	0
Streptosporangium	genus	genus	2000	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium		9	0	0	0	3	0	1	0	2	0	1	1	1
Candidatus Gottesmanbacteria unclassified	genus	phylum	1752720	Bacteria	Candidatus Gottesmanbacteria						9	0	0	0	2	2	1	0	1	1	0	1	1
Candidatus Shapirobacteria unclassified	genus	phylum	1752721	Bacteria	Candidatus Shapirobacteria						9	0	0	0	1	0	2	2	1	1	0	1	1
Bartonella	genus	genus	773	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella		9	0	0	0	0	1	0	3	3	0	0	0	2
Nitritalea	genus	genus	1187887	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Nitritalea		9	0	0	0	0	9	0	0	0	0	0	0	0
Terriglobus	genus	genus	392733	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus		9	0	0	0	0	0	0	0	0	0	1	1	7
Piscicoccus	genus	genus	985001	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Piscicoccus		9	0	0	0	0	0	0	0	0	0	0	0	9
Thermococcus	genus	genus	2263	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus		8	1	0	0	0	0	1	1	0	1	1	0	3
Epsilonproteobacteria unclassified	genus	class	29547	Bacteria	Proteobacteria	Epsilonproteobacteria					8	0	1	1	0	0	0	1	2	0	1	2	0
Coprococcus	genus	genus	33042	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		8	1	0	3	0	0	1	0	0	1	0	2	0
Alishewanella	genus	genus	111142	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alishewanella		8	1	1	0	0	0	0	0	0	1	0	3	2
Syntrophobacterales unclassified	genus	order	213462	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales				8	0	0	2	0	0	0	0	1	1	1	3	0
Aquimarina	genus	genus	290174	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina		8	1	0	1	0	0	0	1	1	1	1	1	1
Chitinophagaceae unclassified	genus	family	563835	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae			8	0	1	1	3	1	0	0	1	0	0	0	1
Mangrovimonas	genus	genus	1211036	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mangrovimonas		8	1	1	2	0	1	1	0	2	0	0	0	0
Halieaceae unclassified	genus	family	1706372	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae			8	2	0	1	0	1	0	1	0	1	1	0	1
Candidatus Peribacteria unclassified	genus	class	1801911	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria					8	1	0	1	0	1	2	2	0	0	0	0	1
Shuttleworthia	genus	genus	177971	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia		8	0	1	1	0	1	1	1	2	0	1	0	0
Dorea	genus	genus	189330	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		8	0	1	1	0	0	0	1	1	1	0	3	0
Candidatus Adlerbacteria unclassified	genus	phylum	1752736	Bacteria	Candidatus Adlerbacteria						8	0	1	1	1	1	0	0	1	1	1	1	0
Beggiatoa	genus	genus	1021	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa		8	0	0	1	0	2	0	1	0	3	0	0	1
Carnobacterium	genus	genus	2747	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium		8	0	0	1	1	0	0	1	0	1	1	2	1
Oligotropha	genus	genus	40136	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Oligotropha		8	0	0	4	4	0	0	0	0	0	0	0	0
Janibacter	genus	genus	53457	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter		8	0	0	1	1	0	0	1	2	1	2	0	0
Chitinibacter	genus	genus	230666	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinibacter		8	0	0	2	1	1	1	0	1	0	0	0	2
Gallaecimonas	genus	genus	745410	Bacteria	Proteobacteria	Gammaproteobacteria			Gallaecimonas		8	0	0	3	0	1	0	1	2	0	1	0	0
Candidatus Jorgensenbacteria unclassified	genus	phylum	1752739	Bacteria	Candidatus Jorgensenbacteria						8	0	0	1	1	0	0	1	2	0	0	2	1
Dermabacter	genus	genus	36739	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermabacteraceae	Dermabacter		8	0	0	0	3	0	0	1	1	0	0	2	1
Xylophilus	genus	genus	54066	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Xylophilus		8	0	0	0	6	0	0	2	0	0	0	0	0
Idiomarina	genus	genus	135575	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina		8	0	0	0	1	1	0	0	0	2	1	1	2
Pseudophaeobacter	genus	genus	1541822	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter		8	0	0	0	6	2	0	0	0	0	0	0	0
Sulfurospirillum	genus	genus	57665	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum		8	0	0	0	0	3	0	1	1	2	0	0	1
Halomicrobium	genus	genus	203135	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium		8	0	0	0	0	1	0	0	2	1	1	2	1
Arenibacter	genus	genus	178469	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Arenibacter		8	0	0	0	0	0	0	8	0	0	0	0	0
Mastigocladopsis	genus	genus	221282	Bacteria	Cyanobacteria		Stigonematales		Mastigocladopsis		8	0	0	0	0	0	0	0	0	8	0	0	0
Thermobispora	genus	genus	147067	Bacteria	Actinobacteria	Actinobacteria			Thermobispora		8	0	0	0	0	0	0	0	0	0	0	0	8
Chloracidobacterium	genus	genus	458032	Bacteria	Acidobacteria	Blastocatellia			Chloracidobacterium		8	0	0	0	0	0	0	0	0	0	0	0	8
Morganella	genus	genus	581	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella		7	1	0	0	0	2	1	0	1	0	1	1	0
Ehrlichia	genus	genus	943	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia		7	2	2	0	0	0	1	1	0	0	0	0	1
Peptostreptococcus	genus	genus	1257	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus		7	2	0	2	0	3	0	0	0	0	0	0	0
Thermoanaerobacterales unclassified	genus	order	68295	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales				7	3	0	0	2	0	0	0	0	1	0	1	0
Psychroflexus	genus	genus	83612	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus		7	1	0	2	2	0	1	0	1	0	0	0	0
Aeromonadaceae unclassified	genus	family	84642	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae			7	0	0	0	1	0	0	2	1	1	1	0	1
Acidimicrobiia unclassified	genus	class	84992	Bacteria	Actinobacteria	Acidimicrobiia					7	1	0	1	0	1	1	0	1	0	0	1	1
Haloterrigena	genus	genus	121871	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena		7	1	0	0	0	0	0	0	2	0	0	1	3
Pectobacterium	genus	genus	122277	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pectobacterium		7	2	0	0	0	1	0	1	0	2	0	0	1
Candidatus Poribacteria unclassified	genus	phylum	265317	Bacteria	Candidatus Poribacteria						7	2	0	0	0	1	0	0	1	1	1	0	1
Sulfuricurvum	genus	genus	286130	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum		7	2	0	1	0	2	1	1	0	0	0	0	0
Fulvivirga	genus	genus	396811	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fulvivirga		7	7	0	0	0	0	0	0	0	0	0	0	0
Opitutae unclassified	genus	class	414999	Bacteria	Verrucomicrobia	Opitutae					7	2	1	2	0	1	1	0	0	0	0	0	0
Eubacterium	genus	genus	1730	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		7	0	1	1	0	0	1	1	0	1	1	0	1
Methanobrevibacter	genus	genus	2172	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter		7	0	2	0	1	1	1	0	1	0	1	0	0
Halobacillus	genus	genus	45667	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus		7	0	1	1	0	0	0	0	3	2	0	0	0
Tenacibaculum	genus	genus	104267	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum		7	0	1	0	1	1	0	2	1	1	0	0	0
Salegentibacter	genus	genus	143222	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salegentibacter		7	0	1	1	1	1	0	0	2	1	0	0	0
Listeriaceae unclassified	genus	family	186820	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae			7	0	1	1	2	0	0	2	0	1	0	0	0
Robinsoniella	genus	genus	588605	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella		7	0	1	0	0	0	0	0	3	3	0	0	0
