Sample Name	RollUpLevel	Rank	TaxID	Type	Phylum	Class	Order	Family	Genus	Species	All Samples	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Thiorhodococcus	genus	genus	57488	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiorhodococcus		920	30	18	86	72	139	88	91	81	94	59	38	124
Thioclava	genus	genus	285107	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thioclava		901	99	38	176	142	100	30	78	59	73	50	25	31
Magnetospirillum	genus	genus	13134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum		886	53	33	118	114	80	36	85	56	78	89	33	111
Spirochaeta	genus	genus	146	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta		884	25	63	185	3	115	55	39	137	114	38	56	54
Aestuariivita	genus	genus	1608457	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariivita		853	93	33	195	163	71	21	60	60	57	36	21	43
Candidatus Accumulibacter	genus	genus	327159	Bacteria	Proteobacteria	Betaproteobacteria			Candidatus Accumulibacter		852	33	6	42	100	53	79	119	49	68	100	58	145
Rhodopseudomonas	genus	genus	1073	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas		851	61	38	141	160	63	42	66	86	73	42	2	77
Bradyrhizobiaceae unclassified	genus	family	41294	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae			842	87	32	113	118	62	48	71	53	79	66	34	79
Pseudoruegeria	genus	genus	311411	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudoruegeria		834	65	38	162	128	95	38	66	61	55	52	30	44
Unclassified Acidobacteria unclassified	genus	no rank	458031	Bacteria	Acidobacteria						828	0	0	47	114	55	65	97	85	89	103	79	94
Leisingera	genus	genus	191028	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera		825	101	35	177	165	105	21	54	49	59	24	12	23
Clostridiales unclassified	genus	order	186802	Bacteria	Firmicutes	Clostridia	Clostridiales				814	38	50	43	44	46	86	93	104	82	53	85	90
Variovorax	genus	genus	34072	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax		813	19	5	28	184	19	24	299	77	59	30	13	56
Dactylococcopsis	genus	genus	13034	Bacteria	Cyanobacteria		Chroococcales		Dactylococcopsis		809	10	63	319	11	171	0	25	154	56	0	0	0
Anaerophaga	genus	genus	177399	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Anaerophaga		807	130	79	44	0	449	0	19	71	7	0	8	0
Celeribacter	genus	genus	875170	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter		807	67	29	171	156	71	32	53	70	53	42	18	45
Trichoderma	genus	genus	5543	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma		799	0	0	0	0	0	0	1	1	0	796	0	1
Rhodospirillaceae unclassified	genus	family	41295	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			792	65	30	102	118	59	49	74	39	58	83	26	89
Actinobacteria unclassified	genus	phylum	201174	Bacteria	Actinobacteria						779	53	11	37	88	62	48	47	102	84	73	59	115
Bacteroides	genus	genus	816	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		748	41	15	81	32	93	66	66	82	48	61	92	71
Thiohalocapsa	genus	genus	85079	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiohalocapsa		733	27	5	62	63	90	108	49	42	66	35	31	155
Sorangium	genus	genus	39643	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium		727	63	0	26	80	74	61	84	46	70	74	67	82
Hoeflea	genus	genus	274591	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea		720	148	24	95	126	54	26	79	31	38	64	14	21
Oceanicaulis	genus	genus	153232	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Oceanicaulis		708	98	133	58	83	102	24	52	41	41	32	5	39
Sphingomonadales unclassified	genus	order	204457	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales				695	52	12	83	110	68	43	56	41	93	45	28	64
Novosphingobium	genus	genus	165696	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		689	71	6	97	152	70	37	60	39	44	33	15	65
Microbacterium	genus	genus	33882	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium		687	29	1	29	140	29	28	183	32	84	43	38	51
Firmicutes unclassified	genus	phylum	1239	Bacteria	Firmicutes						683	41	37	59	45	60	55	60	85	48	42	80	71
Anaeromyxobacter	genus	genus	161492	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter		683	41	3	31	73	40	52	80	69	75	76	58	85
Bacteroidales unclassified	genus	order	171549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales				676	22	23	102	24	89	54	70	117	49	28	49	49
Chondromyces	genus	genus	50	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces		665	55	0	20	93	53	45	81	59	70	65	48	76
Microvirga	genus	genus	186650	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga		665	42	6	94	105	67	5	67	70	63	57	19	70
Marinilabilia	genus	genus	59738	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Marinilabilia		651	0	564	22	0	38	0	0	22	0	0	5	0
