Genera	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Methylibium	0.0004966476285075739	0.0002189621195533173	0.0006012950971322849	0.0020330181746925978	0.00048499372361063563	0.0009633911368015414	0.0011243405310346817	0.0009666631831957362	0.0005775045011380236	0.0019859112709832132	0.0003376952300548755	0.0009174592495183339
Desulfovibrionaceae unclassified	0.0004966476285075739	0.00029194949273775636	0.0003469010175763182	0.00012247097437907215	0.00034234851078397807	0.0010115606936416184	0.0002594631994695419	0.0006792768314348417	0.0005775045011380236	0.0003747002398081535	0.0008020261713803293	0.0005198935747270559
Shinella	0.0004966476285075739	0.00036493686592219544	0.0006475485661424607	0.0004898838975162886	0.0005705808513066301	0.00043352601156069364	0.0003459509326260559	0.0003135123837391577	0.00023779597105683323	0.0005245803357314149	0.00029548332629801604	0.00039756567479127804
Pseudooceanicola	0.0004966476285075739	7.298737318443909e-05	0.0005087881591119334	0.00044089550776465976	0.00017117425539198904	0.0001926782273603083	0.00020180471069853258	0.0001306301598913157	0.0003736793830893094	0.0002248201438848921	0.0	0.00018349184990366677
Chroococcales unclassified	0.0004966476285075739	0.00080286110502883	0.001364477335800185	0.0004653897026404742	0.0010270455323519343	0.0	0.0003459509326260559	0.0007837809593478943	0.0007813296191867378	0.00026229016786570743	8.442380751371887e-05	9.174592495183338e-05
Longilinea	0.0004966476285075739	0.0	0.0	0.0002449419487581443	0.0	0.0011560693641618498	0.0004900971545535791	0.0006270247674783154	0.0007473587661786188	0.000636990407673861	0.0014774166314900801	0.0010703691244380563
Candidatus Koribacter	0.0004966476285075739	0.0	0.0	0.00017145936413070101	0.0	0.0	0.0003459509326260559	0.00023513428780436827	0.00023779597105683323	0.00029976019184652276	0.00042211903756859433	0.00036698369980733353
Mizugakiibacter	0.0004966476285075739	0.0	0.00018501387604070305	0.00034291872826140203	0.0002567613830879836	0.0003853564547206166	0.0003171216882405512	0.000182882223847842	0.0	0.0004121702637889688	0.00029548332629801604	0.00036698369980733353
Geothrix	0.0004966476285075739	0.0	0.0002543940795559667	0.00031842453338558764	0.0003138194682186466	0.0005780346820809249	0.0003171216882405512	0.0005225206395652628	0.0006794170601623807	0.0005995203836930455	0.0007598142676234699	0.0006422214746628337
Desulfatibacillum	0.0004966476285075739	0.00036493686592219544	0.0016419981498612395	0.00034291872826140203	0.0011126326600479288	0.0016859344894026974	0.0012396575085767002	0.002534225101891525	0.0017325135034140708	0.001273980815347722	0.002701561840439004	0.002385394048747668
Acidicaldus	0.0004966476285075739	7.298737318443909e-05	0.0001387604070305273	0.00017145936413070101	0.00028529042565331506	0.00014450867052023122	0.0002594631994695419	0.00015675619186957885	0.00023779597105683323	0.0002248201438848921	0.0	0.0002752377748555002
Burkholderiales Genera incertae sedis unclassified	0.0004966476285075739	0.0002189621195533173	0.00032377428307123034	0.0003674129231372165	0.0003994065959146411	0.0005780346820809249	0.0006054141320955978	0.00039189047967394715	0.0003736793830893094	0.000861810551558753	0.00037990713381173493	0.0006116394996788893
Oscillatoria	0.0004552603261319427	0.0	0.0006244218316373728	0.0003919071180130309	0.0003708775533493096	0.0	0.00037478017701156053	0.0	0.0016306009443897136	0.0	0.0	0.0
Opitutus	0.0004552603261319427	0.0	0.0005319148936170213	0.0005878606770195464	0.0007702841492639507	0.0016377649325626203	0.0006919018652521118	0.000731528895391368	0.0011889798552841661	0.0009742206235011991	0.0015618404390037991	0.0015596807241811676
Silvibacterium	0.0004552603261319427	0.0	0.0	0.00019595355900651546	0.00017117425539198904	0.0	0.0	0.0	0.0003736793830893094	0.0004496402877697842	0.0	0.0
Chromatiales unclassified	0.0004552603261319427	0.0005109116122910736	0.00041628122109158184	0.0004653897026404742	0.0008273422343946138	0.0005298651252408478	0.00028829244385504657	0.0005225206395652628	0.0005775045011380236	0.0005245803357314149	0.0004643309413254538	0.0007951313495825561
Alcanivorax	0.0004552603261319427	0.0005109116122910736	0.00016188714153561517	7.34825846274433e-05	0.0003994065959146411	0.00043352601156069364	0.0006342433764811024	0.00039189047967394715	0.0007813296191867378	0.0004496402877697842	0.0002532714225411566	0.0004893115997431114
Sphingobium	0.0004552603261319427	0.00029194949273775636	0.0008325624421831637	0.0016411110566795669	0.0009414584046559398	0.0005780346820809249	0.0005189263989390838	0.000365764447695684	0.00016985426504059517	0.0008243405275779376	0.00042211903756859433	0.0004281476497752225
Pseudodonghicola	0.0004552603261319427	0.0004379242391066346	0.00016188714153561517	0.00031842453338558764	0.0003708775533493096	0.00024084778420038535	0.00023063395508403725	0.0001306301598913157	0.0002038251180487142	0.0002248201438848921	0.0	0.00012232789993577784
Stenotrophomonas	0.0004552603261319427	0.0004379242391066346	0.0003700277520814061	0.0004898838975162886	0.0005420518087412986	0.000722543352601156	0.0007207311096376164	0.00020900825582610512	0.00044162108910554744	0.0007119304556354916	0.0007176023638666104	0.0005198935747270559
Alicycliphilus	0.0004552603261319427	0.0	0.00020814061054579092	0.0001469651692548866	0.00011411617026132602	0.00043352601156069364	0.00017297546631302795	0.00023513428780436827	0.00023779597105683323	0.0003747002398081535	8.442380751371887e-05	0.00018349184990366677
Pseudanabaena	0.0004552603261319427	0.0	0.0	0.0007593200411502473	0.00022823234052265205	0.0	0.00043243866578256986	0.0	0.00044162108910554744	0.0	0.0	0.0
Altererythrobacter	0.0004552603261319427	0.0	0.00011563367252543941	0.0007103316513986186	0.00022823234052265205	0.0	0.0	0.0	0.0	0.0	4.2211903756859436e-05	0.0
Nevskia	0.0004552603261319427	0.0	0.00020814061054579092	0.00026943614363395874	0.0003708775533493096	0.0001926782273603083	0.0005189263989390838	0.00041801651165221024	0.0003057376770730713	0.0004121702637889688	0.0	0.0003364017248233891
Ensifer	0.0004552603261319427	0.00036493686592219544	0.0014801110083256244	0.0012736981335423505	0.0008558712769599452	0.0004816955684007707	0.00023063395508403725	0.00020900825582610512	0.0002038251180487142	0.0005245803357314149	0.0002532714225411566	0.0006728034496467782
Microcystis	0.0004552603261319427	0.00029194949273775636	0.0005319148936170213	0.00022044775388232988	0.0003994065959146411	0.00028901734104046245	0.0003171216882405512	0.0001306301598913157	0.0013928049733328803	0.0004121702637889688	0.0002532714225411566	9.174592495183338e-05
Cyclobacteriaceae unclassified	0.0004138730237563116	7.298737318443909e-05	0.0005319148936170213	7.34825846274433e-05	0.0004564646810453041	4.816955684007707e-05	5.765848877100931e-05	0.00020900825582610512	3.3970853008119036e-05	3.7470023980815345e-05	4.2211903756859436e-05	3.058197498394446e-05
Desulfomicrobium	0.0004138730237563116	0.0007298737318443909	0.0016651248843663274	0.00026943614363395874	0.0011411617026132602	0.0022639691714836222	0.0014414622192752329	0.002612603197826314	0.0017664843564221897	0.0005995203836930455	0.002743773744195863	0.0020489923239242792
Alcaligenaceae unclassified	0.0004138730237563116	7.298737318443909e-05	0.00020814061054579092	0.00026943614363395874	0.0003138194682186466	0.0003371868978805395	0.0003171216882405512	0.00033963841571742084	0.00044162108910554744	0.0004496402877697842	0.00042211903756859433	0.0005504755497110004
Methylocystaceae unclassified	0.0004138730237563116	0.0004379242391066346	0.0002543940795559667	0.00044089550776465976	0.00034234851078397807	0.000674373795761079	0.0005189263989390838	0.0002612603197826314	0.0004076502360974284	0.0006744604316546763	0.00016884761502743774	0.0002446557998715557
Desulfarculus	0.0004138730237563116	0.0006568863586599519	0.0006706753006475485	0.0002449419487581443	0.0006276389364372932	0.0018786127167630057	0.0006342433764811024	0.0014108057268262097	0.0008832421782110949	0.000636990407673861	0.0014774166314900801	0.0018655004740206122
Desulfobacca	0.0004138730237563116	0.0	0.00048566142460684553	0.0	0.00048499372361063563	0.0015414258188824663	0.00028829244385504657	0.0006008987355000522	0.0003057376770730713	0.00033723021582733815	0.002532714225411566	0.0010703691244380563
Curvibacter	0.0004138730237563116	0.0	0.00011563367252543941	4.8988389751628865e-05	2.8529042565331506e-05	0.0001926782273603083	0.00017297546631302795	0.000365764447695684	0.0002038251180487142	0.00018735011990407674	0.00021105951878429716	9.174592495183338e-05
Desulfovibrionales unclassified	0.0004138730237563116	0.0009488358513977082	0.0007863089731729879	0.00041640131288884537	0.0007702841492639507	0.0015414258188824663	0.0006054141320955978	0.001123419375065315	0.0008832421782110949	0.0009742206235011991	0.0015196285352469397	0.0013456068992935563
Hymenobacter	0.0004138730237563116	0.0	0.00011563367252543941	0.001469651692548866	0.00022823234052265205	9.633911368015414e-05	0.0007207311096376164	0.00033963841571742084	0.0003057376770730713	0.0004496402877697842	0.00042211903756859433	0.0002752377748555002
Vibrio	0.0004138730237563116	0.0005838989854755127	0.00041628122109158184	0.00019595355900651546	0.00019970329795732054	0.00014450867052023122	0.0007207311096376164	0.0005486466715435259	0.0005095627951217855	0.00026229016786570743	0.00021105951878429716	0.00021407382488761124
Dactylococcopsis	0.0004138730237563116	0.004598204510619663	0.007377428307123035	0.00026943614363395874	0.004878466278671688	0.0	0.0007207311096376164	0.004023408924652524	0.0019023677684546659	0.0	0.0	0.0
Legionella	0.0004138730237563116	7.298737318443909e-05	2.312673450508788e-05	0.00044089550776465976	5.705808513066301e-05	0.0001926782273603083	0.00020180471069853258	0.00010450412791305256	0.00013588341203247614	0.00011241007194244605	4.2211903756859436e-05	6.116394996788892e-05
Halobacteriaceae unclassified	0.0004138730237563116	0.0	0.0	0.0	2.8529042565331506e-05	4.816955684007707e-05	2.8829244385504656e-05	2.612603197826314e-05	3.3970853008119036e-05	0.0	0.0	0.0
Bacilli unclassified	0.0004138730237563116	0.0004379242391066346	0.00016188714153561517	0.0002449419487581443	0.0002567613830879836	0.00014450867052023122	0.00023063395508403725	0.00015675619186957885	0.00013588341203247614	0.00014988009592326138	0.0002532714225411566	6.116394996788892e-05
Candidatus Rokubacteria unclassified	0.0004138730237563116	0.0	0.00018501387604070305	0.0002449419487581443	0.00014264521282665753	0.0009633911368015414	0.0004612679101680745	0.00033963841571742084	0.0004076502360974284	0.00033723021582733815	0.0007176023638666104	0.0005810575246949448
Pelomonas	0.0004138730237563116	0.00014597474636887818	0.00039315448658649397	0.0008572968206535051	0.0003138194682186466	0.00043352601156069364	0.00028829244385504657	0.000365764447695684	0.00044162108910554744	0.0006744604316546763	0.0004643309413254538	0.0009786231994862228
Blastopirellula	0.0004138730237563116	0.0	0.0	0.00031842453338558764	0.0004279356384799726	0.0008188824662813102	0.0004612679101680745	0.0005225206395652628	0.0002717668240649523	0.00048711031175059953	0.0004643309413254538	0.0005198935747270559
Rhodanobacteraceae unclassified	0.0004138730237563116	0.0002189621195533173	0.00020814061054579092	0.0005143780923921031	0.00028529042565331506	0.0005298651252408478	0.00037478017701156053	0.0003135123837391577	0.0003057376770730713	0.0005995203836930455	0.00029548332629801604	0.0002752377748555002
Chromobacteriaceae unclassified	0.0004138730237563116	0.00029194949273775636	0.00016188714153561517	0.00019595355900651546	0.0002567613830879836	0.0003853564547206166	0.0004612679101680745	0.00028738635176089454	0.0003736793830893094	0.0005995203836930455	0.0002532714225411566	0.00012232789993577784
Azohydromonas	0.0004138730237563116	0.0002189621195533173	4.625346901017576e-05	0.00034291872826140203	0.0002567613830879836	0.0003371868978805395	0.00017297546631302795	0.00020900825582610512	0.0004076502360974284	0.00026229016786570743	0.0	0.00030581974983944464
Pseudolabrys	0.0004138730237563116	0.0	0.0001387604070305273	0.00017145936413070101	0.00014264521282665753	0.0003371868978805395	0.0003459509326260559	0.00010450412791305256	0.00016985426504059517	0.0004496402877697842	0.0	0.0003364017248233891
Rubrivivax	0.0004138730237563116	0.0002189621195533173	0.00048566142460684553	0.0007103316513986186	0.00034234851078397807	0.0005780346820809249	0.000663072620866607	0.000365764447695684	0.0003057376770730713	0.001086630695443645	0.00021105951878429716	0.0005504755497110004
Thermithiobacillus	0.00037248572138068043	0.00029194949273775636	0.00016188714153561517	0.0004898838975162886	0.00011411617026132602	0.00024084778420038535	0.0003171216882405512	0.00039189047967394715	0.0002038251180487142	0.0004496402877697842	0.0005065428450823132	0.00030581974983944464
