Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Acidobacteriaceae_unclassified	30	0	3	41	11	25	31	16	28	44	7	55
Acidiphilium	22	9	33	38	25	20	17	27	30	24	10	31
Cystobacterineae_unclassified	21	3	6	35	21	17	35	30	35	25	29	29
Syntrophobacter	18	0	19	13	17	40	15	25	27	15	40	56
Tropicibacter	21	10	64	60	39	9	15	14	18	17	9	8
Singulisphaera	16	0	11	37	21	27	18	36	22	21	32	42
Wenxinia	27	14	41	41	30	14	20	22	31	15	12	16
Gemmata	30	0	8	37	15	25	22	25	31	25	33	31
Methylococcaceae_unclassified	21	4	20	28	20	22	34	23	26	26	24	34
Geoalkalibacter	0	7	33	0	29	22	24	58	27	12	34	35
Nitratireductor	33	5	37	43	25	4	22	22	15	42	3	29
Microbacteriaceae_unclassified	22	6	15	27	26	21	26	27	25	28	19	33
Arenimonas	34	1	16	59	33	8	36	11	17	41	8	11
Clostridia_unclassified	17	12	18	10	14	25	20	34	29	14	32	49
Phyllobacteriaceae_unclassified	22	11	37	42	22	18	22	16	21	24	15	23
Nocardia	15	3	11	39	15	10	42	29	24	27	13	27
Acidobacteria_unclassified	122	1	5	20	11	10	28	15	10	15	11	7
Thalassobaculum	20	12	38	41	20	12	23	17	17	21	9	25
Polymorphum	17	14	30	35	20	23	20	22	20	20	8	22
Martelella	22	2	40	43	21	17	19	27	27	20	0	12
Oxalobacteraceae_unclassified	22	1	11	35	11	24	36	18	21	19	22	28
Labilithrix	41	0	10	34	37	12	30	16	15	15	14	23
Luteimonas	0	3	23	56	28	0	50	34	1	32	0	20
Sphingobium	11	4	36	67	33	12	18	14	5	22	10	14
Pleomorphomonas	17	3	23	22	22	21	25	23	17	25	13	34
Scytonema	27	13	20	36	22	8	25	25	29	22	5	12
Draconibacterium	1	27	66	1	72	1	7	64	2	0	1	2
Rubritepida	22	6	28	33	19	21	18	19	15	17	13	32
Thiorhodovibrio	4	2	42	15	42	16	22	20	36	10	7	26
Levilinea	14	0	13	17	11	20	23	22	37	17	28	39
Gemmatirosa	18	0	10	32	17	17	25	25	21	37	19	20
Aeromicrobium	4	0	2	43	0	3	112	10	46	4	8	8
Nocardiopsis	21	3	11	26	10	24	16	21	25	29	20	32
Pelagibaca	29	7	49	27	20	17	15	11	18	17	10	17
Thiocystis	5	2	27	24	22	23	21	17	24	15	14	42
Ensifer	11	5	64	52	30	10	8	8	6	14	6	22
Achromobacter	16	2	25	24	27	13	30	24	12	14	19	24
Aminobacter	29	10	40	37	25	0	32	15	0	13	0	29
Dinoroseobacter	20	8	47	50	19	7	15	14	20	10	10	10
Thalassobius	24	0	42	52	36	2	27	9	29	6	1	2
Arhodomonas	18	11	16	26	44	18	17	23	9	13	12	22
Rhizobacter	29	1	24	32	11	13	28	8	19	31	5	27
Bacteria_candidate_phyla_unclassified	9	8	8	6	15	39	13	19	21	8	40	42
Diplosphaera	12	12	23	16	16	13	14	17	23	16	23	42
Desulfobacca	10	0	21	0	17	32	10	23	9	9	60	35
Nodosilinea	12	0	17	51	17	0	29	21	45	18	0	16
Cystobacteraceae_unclassified	18	5	13	29	22	20	21	20	20	13	16	27
Lutibaculum	16	6	28	28	19	13	14	22	20	17	14	24
Pelobacter	6	3	25	4	20	18	9	34	38	8	17	38
Chroococcales_unclassified	12	11	59	19	36	0	12	30	23	7	2	3
Ralstonia	20	0	18	21	22	9	24	21	15	29	8	25
Bordetella	5	4	36	37	11	3	26	32	10	15	14	18
Cupriavidus	17	6	17	30	18	18	28	18	15	20	13	11
Oceanibaculum	35	5	16	25	20	15	21	17	10	23	8	12
Vulgatibacter	15	0	7	24	10	15	23	17	24	22	19	31
Allochromatium	3	1	27	20	29	18	21	16	18	11	8	34
Anaerolineae_unclassified	4	0	2	1	2	13	15	14	24	12	59	60
Nitrosomonas	31	0	1	41	1	0	34	0	0	95	0	0
Pseudomonadaceae_unclassified	17	7	19	21	20	14	18	15	17	19	12	24
Kaistia	15	9	20	22	27	10	18	18	19	21	3	17
Rhodocyclaceae_unclassified	17	5	14	23	22	9	23	23	12	19	6	25
Tistrella	15	7	24	16	18	11	39	11	17	10	10	20
Desulfobacula	2	1	16	0	15	3	42	46	57	0	13	2
Thiomonas	6	6	22	24	24	18	15	22	4	26	4	26
Solimonas	17	2	12	26	14	21	19	15	20	26	4	21
Longilinea	12	0	0	10	0	24	17	24	22	17	35	35
Chelativorans	0	5	25	24	23	17	25	10	27	26	0	14
Solirubrobacter	12	1	5	19	22	13	19	21	24	8	20	30
Frankia	14	2	17	28	10	7	16	13	20	28	17	21
Chromatiales_unclassified	11	7	18	19	29	11	10	20	17	14	11	26
Amorphus	13	7	29	18	14	9	13	14	27	15	10	21
Pseudorhodoferax	3	0	32	51	3	2	39	3	5	16	1	35
Stenotrophomonas	11	6	16	20	19	15	25	8	13	19	17	17
Unclassified_Myxococcales_unclassified	0	0	0	41	15	11	32	12	15	41	0	19
Ilumatobacter	1	0	1	28	28	20	9	21	23	29	0	26
Rubrivivax	10	3	21	29	12	12	23	14	9	29	5	18
Parvularcula	21	1	11	35	14	5	27	15	28	13	5	10
Streptomycetaceae_unclassified	9	3	11	19	10	13	17	21	14	20	20	27
Desulfobulbaceae_unclassified	4	0	20	0	25	6	7	39	16	14	19	34
Actinomyces	9	4	15	12	15	18	15	26	18	19	17	15
Verrucomicrobium	6	0	15	7	1	19	8	42	22	5	6	52
Pantoea	2	2	2	37	4	5	74	11	33	6	1	6
Pelomonas	10	2	17	35	11	9	10	14	13	18	11	32
Pseudorhodobacter	20	0	43	76	17	0	1	0	14	9	1	0
Afifella	20	6	20	28	16	9	15	19	8	11	10	19
Prosthecomicrobium	18	7	24	21	17	16	16	13	13	12	7	16
Caulobacteraceae_unclassified	20	4	25	22	14	6	15	15	20	16	4	18
Zavarzinella	16	0	0	14	11	23	15	14	24	15	25	22
Corynebacterium	9	4	11	11	8	12	15	20	23	19	12	34
Rhodovibrio	16	10	22	23	14	16	8	14	9	19	5	22
Defluviimonas	15	7	30	29	20	10	16	16	13	6	8	8
Roseiflexus	1	0	1	9	11	10	31	17	61	0	13	23
